PMID,PMC ID,Title,Author(s),Abstract,Date of Publication,Date of Electronic Publication,round-A_Agent1_output,round-A_Agent1_reasoning,round-A_Agent1_score,round-A_Agent1_certainty,round-A_Agent2_output,round-A_Agent2_reasoning,round-A_Agent2_score,round-A_Agent2_certainty,round-B_Agent3_output,round-B_Agent3_complications
34118375,PMC8187737,Myocarditis After SARS-CoV-2 Vaccination: A Vaccine-Induced Reaction?,D'Angelo T||Cattafi A||Carerj ML||Booz C||Ascenti G||Cicero G||Blandino A||Mazziotti S,"Vaccination plays an important role in the fight against SARS-CoV-2 to minimie the spread of coronavirus disease 2019 (COVID-19) and its life-threatening complications. Myocarditis has been reported as a possible and rare adverse consequence of different vaccines, and its clinical presentation can range from influenza-like symptoms to acute heart failure. We report a case of a 30-year-old man who presented progressive dyspnea and constrictive retrosternal pain after receiving SARS-CoV-2 vaccine. Cardiac magnetic resonance and laboratory data revealed typical findings of acute myopericarditis.",2021 Oct,20210609.0,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses myocarditis as a possible adverse effect of SARS-CoV-2 vaccination, thus meeting the specified criteria.', 'score': 1}","The abstract explicitly discusses myocarditis as a possible adverse effect of SARS-CoV-2 vaccination, thus meeting the specified criteria.",1,100,"{'reasoning': 'The article discusses a case of myocarditis following SARS-CoV-2 vaccination, which directly addresses complications or adverse effects of COVID-19 vaccinations.', 'score': 1, 'certainty': 90}","The article discusses a case of myocarditis following SARS-CoV-2 vaccination, which directly addresses complications or adverse effects of COVID-19 vaccinations.",1,90,"{'complications': ['myocarditis', 'acute myopericarditis', 'progressive dyspnea', 'constrictive retrosternal pain', 'influenza-like symptoms', 'acute heart failure']}","['myocarditis', 'acute myopericarditis', 'progressive dyspnea', 'constrictive retrosternal pain', 'influenza-like symptoms', 'acute heart failure']"
39264422,,Extravasation with methylthioninium chloride.,Chebolu E||Gnirke M||St Francis H||Soghoian S||Su MK,"INTRODUCTION: Methylthioninium chloride is used for multiple treatment purposes and is sometimes administered through peripheral intravenous lines. We highlight the potential adverse effects of methylthioninium chloride extravasation during continuous peripheral intravenous administration. CASE SUMMARY: A 38-year-old woman presented to the emergency department with multifactorial hypovolemic and septic shock. She was treated with a continuous peripheral infusion of intravenous methylthioninium chloride for shock refractory to multiple vasopressors. IMAGES: One day after administration commenced, the patient developed blue staining of the left upper arm due to extravasation of methylthioninium chloride proximal to the site of infusion. Further images show its later spread. CONCLUSION: While reported cases of methylthioninium chloride extravasation are rare, it is our preference that methylthioninium chloride should be administered through a central line in cases of continuous infusion due to the risk of potential toxicity from extravasation.",2024 Nov,20240912.0,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of vaccinations against COVID19; therefore, it does not meet the specified criteria.', 'score': 2}","The article does not discuss complications or adverse effects of vaccinations against COVID19; therefore, it does not meet the specified criteria.",2,100,"{'reasoning': 'The article discusses the extravasation of methylthioninium chloride and its adverse effects, but it does not address complications or adverse effects related to COVID-19 vaccinations, which is the specified focus of the scoring task.', 'score': 2, 'certainty': 90}","The article discusses the extravasation of methylthioninium chloride and its adverse effects, but it does not address complications or adverse effects related to COVID-19 vaccinations, which is the specified focus of the scoring task.",2,90,,
32981926,PMC7532524,Inferior Wall Myocardial Infarction in Severe COVID-19 Infection: A Case Report.,Sheikh AB||Shekhar R||Javed N||Upadhyay S,"BACKGROUND The novel coronavirus disease (COVID-19) has been declared a pandemic. With the ever-increasing number of COVID-19 patients, it is imperative to explore the factors related to the disease to aid patient management until a definitive vaccine is ready, as the disease is not limited to the respiratory system alone. COVID-19 has been associated with various cardiovascular complications including acute myocardial injury, myocarditis, arrhythmias, and venous thromboembolism. The infection is severe in patients with pre-existing cardiovascular disease, and a systemic inflammatory response due to a cytokine storm in severe COVID-19 cases can lead to acute myocardial infarction. CASE REPORT We present the case of a 56-year-old man with cardiovascular risk factors including coronary artery disease, hypertension, ischemic cardiomyopathy, and hyperlipidemia, who had COVID-19-induced pneumonia complicated with acute respiratory distress syndrome. He subsequently developed myocardial infarction during his hospitalization at our facility. He had a significant contact history for COVID-19. He was managed with emergent cardiac revascularization after COVID-19 was confirmed by real-time reverse transcription-polymerase chain reaction testing from a nasopharyngeal swab as per hospital policy for admitted patients. Apart from dual antiplatelet therapy, tocilizumab therapy was initiated due to the high interleukin-6 levels. His hospitalization was complicated by hemodialysis and failed extubation and intubation, resulting in a tracheostomy. Upon improvement, he was discharged to a long-term facility with a plan for outpatient follow-up. CONCLUSIONS In high-risk patients with COVID-19-induced pneumonia and cardiovascular risk factors, a severe systemic inflammatory response can lead to atherosclerotic plaque rupture, which can manifest as acute coronary syndrome.",2020 Sep 28,20200928.0,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of COVID-19 vaccinations.', 'score': 2}",The article does not discuss complications or adverse effects of COVID-19 vaccinations.,2,100,"{'reasoning': 'The article discusses complications related to COVID-19 infection, specifically myocardial infarction, but does not address complications or adverse effects of vaccinations against COVID-19.', 'score': 2, 'certainty': 90}","The article discusses complications related to COVID-19 infection, specifically myocardial infarction, but does not address complications or adverse effects of vaccinations against COVID-19.",2,90,,
37571970,,Amiodarone-Induced Nystagmus and Ataxia: Case Report and Systematic Review of Case Reports.,Kaur P||Kaur A||Sinha A||Khaliq W||Dumic I||Singh A,"Amiodarone is an antiarrhythmic drug with a significant adverse effect profile, including neurotoxicity. While ataxia, neuropathy, and tremors are more commonly seen forms of amiodarone neurotoxicity, very few cases of nystagmus are reported. We report the case of an 86-year-old man who presented with abrupt-onset ataxia, dizziness, and inability to ambulate, 10 days after initiating amiodarone for atrial fibrillation. His examination revealed gaze-evoked nystagmus along with features of cerebellar dysfunction. After excluding other etiologies, amiodarone was stopped. His nystagmus resolved, and his ataxia improved within 48 h of stopping amiodarone. Due to the rarity of this drug-induced adverse effect, we performed a systematic review of available case reports in the literature (PubMed and Scopus) using Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines and presented our findings. Nystagmus is a rarely reported adverse effect of amiodarone, which can occur within days to months of starting the medication. Treatment includes stopping the drug and monitoring for resolution of nystagmus.",2023 Dec,20230902.0,"{'certainty': 100, 'reasoning': 'The article focuses on amiodarone-induced neurological effects and does not discuss COVID-19 vaccination complications.', 'score': 2}",The article focuses on amiodarone-induced neurological effects and does not discuss COVID-19 vaccination complications.,2,100,"{'reasoning': 'The article discusses the adverse effects of amiodarone, not vaccinations against COVID-19, thus it does not meet the criteria for the scoring task.', 'score': 2, 'certainty': 95}","The article discusses the adverse effects of amiodarone, not vaccinations against COVID-19, thus it does not meet the criteria for the scoring task.",2,95,,
34719084,PMC8597588,Can SARS-CoV-2 vaccine increase the risk of reactivation of Varicella zoster? A systematic review.,Desai HD||Sharma K||Shah A||Patoliya J||Patil A||Hooshanginezhad Z||Grabbe S||Goldust M,"INTRODUCTION: Although the COVID-19 vaccination is deemed safe, exact incidence and nature if adverse effects, particularly dermatological ones, are still unknown. OBJECTIVE: To describe the demographic, clinical, morphological characteristics, outcomes, and timing of development of herpes zoster to the various COVID-19 vaccines. And to identify on whether COVID-19 vaccine has temporal relationship between development of herpes zoster (HZ). METHODS: We have performed a systemic review of articles from PubMed and Embase using MeSH and keywords like ""Shingles,"" ""Herpes zoster,"" ""Varicella zoster,"" ""COVID-19,"" ""Vaccine,"" ""SARS-CoV-2."" No filters including country of publication, language, type of articles were applied. Individual case report references were filtered for any pertinent cases. RESULTS: A total of 54 cases consisting of 27 male and 27 female patients have been reported. There were cases with known risk factors for herpes zoster, which included age more than 50 years (n = 36), immunological disorders (n = 10), chronic disease (n = 25), metabolic disorder (n = 13), malignancy (n = 4), and psychiatric disorder (n = 2). The mean (SD) period between development of herpes zoster and COVID-19 vaccination was 7.64 (6.92) days. Majority of the cases were from the high-income and/or middle-income countries. 86.27% of the cases of HZ were reported due to mRNA vaccine. Thirty-six patients 36/45 (80%) developed herpes zoster following the priming dose of COVID-19 vaccine among those who received mRNA vaccine. CONCLUSION: We could not establish definite link but there may be possible association between COVID-19 vaccine and shingles. Large-scale studies may help to understand the cause-effect relationship.",2021 Nov,,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses a potential adverse effect (herpes zoster) of COVID-19 vaccination, thus meeting the specified criteria.', 'score': 1}","The abstract explicitly discusses a potential adverse effect (herpes zoster) of COVID-19 vaccination, thus meeting the specified criteria.",1,100,"{'reasoning': 'The article discusses the potential association between COVID-19 vaccination and the development of herpes zoster, which is a complication or adverse effect related to the vaccination, thus meeting the criteria.', 'score': 1, 'certainty': 90}","The article discusses the potential association between COVID-19 vaccination and the development of herpes zoster, which is a complication or adverse effect related to the vaccination, thus meeting the criteria.",1,90,"{'complications': ['herpes zoster', 'shingles']}","['herpes zoster', 'shingles']"
34796417,PMC8601771,Guillain-Barre syndrome following the first dose of Pfizer-BioNTech COVID-19 vaccine: case report and review of reported cases.,Bouattour N||Hdiji O||Sakka S||Fakhfakh E||Moalla K||Daoud S||Farhat N||Damak M||Mhiri C,"BACKGROUND: Since the SARS-CoV-2 pandemic has started in December 2019, millions of people have been infected all over the world. Vaccination is the most efficient tool to end this pandemic, but vaccine surveillance is necessary to identify side effects. Some studies have shown that neurological complications after COVID-19 vaccination are rare and dominated by demyelinating disease. CASE PRESENTATION: We present a case of a 67-year-old man who presented 7 days following his first dose of Pfizer-BioNTech COVID-19 vaccine a rapidly progressive ascending muscle weakness. The diagnosis of Guillain-Barre syndrome (GBS) was confirmed according to the clinical features, the albumino-cytological dissociation in the cerebrospinal fluid, and the electroneuromyography findings. The workup for all known infections associated with immune-mediated GBS was negative. The patient received treatment with intravenous immunoglobulin. Neurological examination 1 month after discharge showed full recovery and he regained his baseline functional status. CONCLUSIONS: As far as we know, this is the first reported case in Tunisia. Although extremely rare, neurologists should remain vigilant for acute inflammatory demyelinating polyradiculoneuropathy after COVID-19 vaccination.",2022 Feb,20211118.0,"{'certainty': 100, 'reasoning': 'The article discusses a case of Guillain-Barre syndrome following a COVID-19 vaccination, which is an adverse effect.', 'score': 1}","The article discusses a case of Guillain-Barre syndrome following a COVID-19 vaccination, which is an adverse effect.",1,100,"{'reasoning': 'The article discusses a case of Guillain-Barre syndrome following the Pfizer-BioNTech COVID-19 vaccine, which directly addresses complications or adverse effects of the vaccination.', 'score': 1, 'certainty': 90}","The article discusses a case of Guillain-Barre syndrome following the Pfizer-BioNTech COVID-19 vaccine, which directly addresses complications or adverse effects of the vaccination.",1,90,"{'complications': ['Guillain-Barre syndrome', 'ascending muscle weakness', 'acute inflammatory demyelinating polyradiculoneuropathy']}","['Guillain-Barre syndrome', 'ascending muscle weakness', 'acute inflammatory demyelinating polyradiculoneuropathy']"
35600593,PMC9114295,Central Diabetes Insipidus Following Immunization With BNT162b2 mRNA COVID-19 Vaccine: A Case Report.,Bouca B||Roldao M||Bogalho P||Cerqueira L||Silva-Nunes J,"INTRODUCTION: Cases of central diabetes insipidus (CDI) have been reported after COVID-19 infection, with hypophysitis being the most likely cause. COVID-19 vaccines potential adverse effects may mimetize some of these complications. CASE REPORT: Woman 37 years old, with rheumatoid arthritis under adalimumab (40 mg twice a month) since December 2018. She was in her usual state of health when she has received the second dose of BNT162b2 mRNA COVID-19 vaccine (June 2021). Seven days later, she started reporting intense thirst and polyuria and consulted her family physician. BLOOD ANALYSIS: creatinine 0.7 mg/dL, glucose 95mg/dL, Na+ 141mEq/L, K+ 3.9 mEq/L, TSH 3.8 mcUI/L (0.38-5.33), FT4 0.9 ng/dL (0.6-1.1), cortisol 215.4 nmol/L (185-624), ACTH 21.9 pg/mL (6- 48), FSH 4.76 UI/L, LH5.62 UI/L, estradiol 323 pmol/L, IGF1 74.8 ng/mL (88-209), PRL 24.7mcg/L (3.3-26.7) osmolality 298.2 mOs/Kg (250- 325); Urine analysis: volume 10200 mL/24h, osmolality 75 mOs/Kg (300-900), density 1.002. On water restriction test: 0' - Serum osmolality 308.8mOsm/Kg vs. urine osmolality 61.0 mOsm/Kg; 60' - urine osmolality 102 mOsm/Kg; urine osmolality 1 h after desmopressine was 511mOsm/kg. MRI revealed no abnormal signs consistent with hypophysitis except for the loss of the posterior pituitary bright spot on T1 weighted imaging. Diagnosis of CDI was assumed, and started therapy with desmopressine. A report of potential adverse effect was addressed to national health authorities. CONCLUSION: In hypophysitis MRI often shows loss of posterior pituitary bright spot on T1 weighted imaging, pituitary enlargement or stalk thickening but those findings were not present in this patient. To the best of our knowledge, CDI has never been reported following administration of a COVID-19 vaccine.",2022,20220504.0,"{'certainty': 100, 'reasoning': 'The article is a case report of central diabetes insipidus following a COVID-19 vaccination, directly addressing complications or adverse effects of COVID-19 vaccination.', 'score': 1}","The article is a case report of central diabetes insipidus following a COVID-19 vaccination, directly addressing complications or adverse effects of COVID-19 vaccination.",1,100,"{'reasoning': 'The article discusses a case of central diabetes insipidus following vaccination with the BNT162b2 mRNA COVID-19 vaccine, which directly relates to complications or adverse effects of COVID-19 vaccinations.', 'score': 1, 'certainty': 90}","The article discusses a case of central diabetes insipidus following vaccination with the BNT162b2 mRNA COVID-19 vaccine, which directly relates to complications or adverse effects of COVID-19 vaccinations.",1,90,"{'complications': ['central diabetes insipidus', 'hypophysitis']}","['central diabetes insipidus', 'hypophysitis']"
35633085,PMC9348236,Acute appendicitis in a patient immunised with COVID-19 vaccine: A case report with morphological analysis.,Marconi E||Crescioli G||Bonaiuti R||Pugliese L||Santi R||Nesi G||Cerbai E||Vannacci A||Lombardi N,"Although the benefit/risk profile for mRNA COVID-19 vaccines is recognised as extremely favourable, appendicitis is currently considered an adverse event (AE) of special interest. We describe the case of a 58-year-old female who presented with signs and symptoms of appendicitis approximately 48 hours after her first injection of the Pfizer-BioNTech vaccine. Abdominal ultrasound revealed fluid collection in the right iliac fossa and cecal wall thickening. Following the surgical visit, CT scan with contrast showed a distended appendix with thickened walls, suggestive of acute appendicitis. The patient tested negative to upper respiratory COVID-19 reverse transcription-polymerase chain reaction. Clinical trials and observational studies suggest a possible association between appendicitis and COVID-19 vaccines. Th-1 driven granulomatous inflammation reported in our case represents an infrequent nonspecific chronic inflammation of the appendix, especially in the setting of delayed or interval appendectomy. In view of the current paediatric vaccination campaign, we recommend monitoring the safety profile and potential gastrointestinal AEs associated with mRNA COVID-19 vaccines to swiftly manage subjects with gastrointestinal symptoms and prevent potential complications.",2023 Feb,20220607.0,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses appendicitis as a potential adverse event following COVID-19 vaccination, meeting the specified criteria.', 'score': 1}","The abstract explicitly discusses appendicitis as a potential adverse event following COVID-19 vaccination, meeting the specified criteria.",1,100,"{'reasoning': 'The article discusses a case of acute appendicitis occurring after COVID-19 vaccination, which aligns with the criteria of discussing complications or adverse effects of vaccinations against COVID-19.', 'score': 1, 'certainty': 90}","The article discusses a case of acute appendicitis occurring after COVID-19 vaccination, which aligns with the criteria of discussing complications or adverse effects of vaccinations against COVID-19.",1,90,"{'complications': ['appendicitis', 'gastrointestinal adverse events (AEs)']}","['appendicitis', 'gastrointestinal adverse events (AEs)']"
37335733,PMC10194520,Ulcerative colitis and thrombocytosis: Case report and literature review.,Zhou Y||Zhu F||Jing D||Wang Q||Zhou G,"RATIONALE: Ulcerative colitis (UC) is an autoimmune disease of unknown etiology, sometimes associated with anemia and thrombocytosis. Platelets (PLTs) play a role in amplifying inflammatory and immune responses in chronic inflammation. This study discusses the diagnosis and treatment of a case of UC combined with secondary thrombocytosis and reviews the relevant literature. We report an interaction between thrombocytosis and UC to raise clinicians' awareness of this condition. PATIENT CONCERNS: In the current report, we discuss the case of a 30-year-old female patient who presented with frequent diarrhea and thrombocytosis. DIAGNOSIS: Severe UC combined with intestinal infection was diagnosed based on colonoscopy and intestinal biopsy. The patient had a PLT count >450 x 109/L and was diagnosed with reactive thrombocytosis. INTERVENTIONS AND OUTCOMES: The patient was discharged from the hospital in remission after receiving vedolizumab and anticoagulant treatment. LESSONS: In patients with severe UC with thrombocytosis, clinicians should pay attention to PLTs promoting inflammatory progression, as well as screening for venous thromboembolism risk and prophylactic anti-venous thromboembolism therapy at the time of dosing to avoid adverse effects.",2023 May 19,,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of vaccinations against COVID19.', 'score': 2}",The article does not discuss complications or adverse effects of vaccinations against COVID19.,2,100,"{'reasoning': 'The article discusses ulcerative colitis and thrombocytosis, which is unrelated to complications or adverse effects of COVID-19 vaccinations, thus it does not meet the criteria.', 'score': 2, 'certainty': 90}","The article discusses ulcerative colitis and thrombocytosis, which is unrelated to complications or adverse effects of COVID-19 vaccinations, thus it does not meet the criteria.",2,90,,
35916826,,Eyelid edema following the first Pfizer-BioNTech COVID-19 vaccination: is it a coincidence?,Baysal Z||Gobeka HH,"OBJECTIVE: This report describes an ocular allergic reaction manifested as eyelid edema after Pfizer-BioNTech COVID-19 vaccination. CASE DESCRIPTION: A 28-year-old female had the first Pfizer-BioNTech COVID-19 vaccine dose and was discharged following a 20-minute post-vaccination observation for potential adverse complications. She came to the emergency department after her left eyelid swelled unexpectedly two hours later, accompanied by itching and redness. Aside from left eyelid edema and redness, there were no other remarkable bilateral ocular findings. The lack of recent history of any cause of eyelid edema suggested a vaccine-induced ocular allergy. Immediate administration of systemic and topical anti-allergic medications resulted in a significant clinical improvement within 4-6 hours. CONCLUSIONS: Reporting any adverse reactions to vaccines, especially recently approved ones, is extremely critical. Local ocular allergy, as opposed to systemic allergy, could be considered one of the COVID 19 vaccine's rare and mild side effects.",2022 Jul,,"{'certainty': 100, 'reasoning': 'The article discusses an ocular allergic reaction after a COVID-19 vaccination, which is an adverse effect.', 'score': 1}","The article discusses an ocular allergic reaction after a COVID-19 vaccination, which is an adverse effect.",1,100,"{'reasoning': 'The article discusses an ocular allergic reaction as a potential adverse effect following the Pfizer-BioNTech COVID-19 vaccination, which aligns with the criteria of discussing complications or adverse effects of vaccinations against COVID-19.', 'score': 1, 'certainty': 90}","The article discusses an ocular allergic reaction as a potential adverse effect following the Pfizer-BioNTech COVID-19 vaccination, which aligns with the criteria of discussing complications or adverse effects of vaccinations against COVID-19.",1,90,"{'complications': ['eyelid edema', 'ocular allergic reaction', 'itching', 'redness']}","['eyelid edema', 'ocular allergic reaction', 'itching', 'redness']"
37634107,,Bullous Pemphigoid Developed after the COVID-19 Vaccine.,Linares-Navarro R||Ramirez GR||Perandones-Gonzalez H||Rodriguez-Prieto MA,A 91-year-old man presented with pruriginous tense blisters and erosions on the upper and lower extremities (Figures 1A and 1B). Mucous membranes were unaffected and Nikolsky's sign was negative. These lesions appeared 48 hours after the administration of the second dose of the Pfizer-BioNTech COVID-19 vaccine. The patient had received the first dose of the same vaccine 23 days prior to the onset of lesions. He did not suffer from any other post-vaccination adverse effects.,2023,20230828.0,"{'certainty': 100, 'reasoning': 'The abstract describes a case of bullous pemphigoid appearing after a COVID-19 vaccination, which is an adverse effect.', 'score': 1}","The abstract describes a case of bullous pemphigoid appearing after a COVID-19 vaccination, which is an adverse effect.",1,100,"{'reasoning': 'The article discusses a case of bullous pemphigoid that developed after the administration of the COVID-19 vaccine, which qualifies as a complication or adverse effect of vaccination against COVID-19.', 'score': 1, 'certainty': 90}","The article discusses a case of bullous pemphigoid that developed after the administration of the COVID-19 vaccine, which qualifies as a complication or adverse effect of vaccination against COVID-19.",1,90,"{'complications': ['Bullous pemphigoid', 'Pruriginous tense blisters', 'Erosions on the upper and lower extremities']}","['Bullous pemphigoid', 'Pruriginous tense blisters', 'Erosions on the upper and lower extremities']"
34473209,PMC8414361,Association of Ocular Adverse Events With Inactivated COVID-19 Vaccination in Patients in Abu Dhabi.,Pichi F||Aljneibi S||Neri P||Hay S||Dackiw C||Ghazi NG,"IMPORTANCE: As vaccinations against COVID-19 continue, potential ocular adverse events should be reported in detail to increase awareness among the medical community, although typically, a causal relationship cannot be established definitively. OBJECTIVE: To describe ocular adverse events that occur soon after receiving an inactivated COVID-19 vaccination (Sinopharm). DESIGN, SETTING, AND PARTICIPANTS: This case series took place from September 2020 to January 2021 at Cleveland Clinic Abu Dhabi, a tertiary referral center. Patients who reported ocular adverse events and presented within 15 days from the first of 2 doses of an inactivated COVID-19 vaccine were analyzed. MAIN OUTCOMES AND MEASURES: Each patient underwent Snellen best-corrected visual acuity that was then converted to logMAR, applanation tonometry, and biomicroscopic examination with indirect ophthalmoscopy. Color fundus photography was obtained with a conventional 9-field fundus photography camera or with a widefield fundus photography system. Optical coherence tomography and optical coherence tomographic angiography images were obtained. Sex, race, age, and clinical data were self-reported. RESULTS: Nine eyes of 7 patients (3 male individuals) presenting with ocular complaints following COVID-19 vaccine were included in the study. The mean (SD) age was 41.4 (9.3) years (range, 30-55 years); the mean best-corrected visual acuity was 0.23 logMAR (range, 0-1 logMAR; approximate Snellen equivalent, 20/32). The mean time of ocular adverse event manifestations was 5.2 days (range, 1-10 days). One patient was diagnosed with episcleritis, 2 with anterior scleritis, 2 with acute macular neuroretinopathy, 1 with paracentral acute middle maculopathy, and 1 with subretinal fluid. CONCLUSIONS AND RELEVANCE: In this case series study of 7 patients, the timing of transient and ocular complications 5.2 days after vaccination with an inactivated COVID-19 vaccine supported an association with the ocular findings, but a causal relationship cannot be established from this study design.",2021 Oct 1,,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses ocular adverse events following COVID-19 vaccination, thus meeting the specified criteria.', 'score': 1}","The abstract explicitly discusses ocular adverse events following COVID-19 vaccination, thus meeting the specified criteria.",1,100,"{'reasoning': 'The article discusses ocular adverse events associated with the inactivated COVID-19 vaccine, which directly relates to complications or adverse effects of vaccinations against COVID-19.', 'score': 1, 'certainty': 90}","The article discusses ocular adverse events associated with the inactivated COVID-19 vaccine, which directly relates to complications or adverse effects of vaccinations against COVID-19.",1,90,"{'complications': ['episcleritis', 'anterior scleritis', 'acute macular neuroretinopathy', 'paracentral acute middle maculopathy', 'subretinal fluid']}","['episcleritis', 'anterior scleritis', 'acute macular neuroretinopathy', 'paracentral acute middle maculopathy', 'subretinal fluid']"
38106883,PMC10725247,Successful treatment of nivolumab and ipilimumab triggered type 1 diabetes by using sodium-glucose transporter 2 inhibitor: a case report and systematic review.,Fujiwara M||Shimizu M||Okano T||Maejima Y||Shimomura K,"OBJECTIVE: Checkpoint inhibitors (CPIs) can trigger complications related to the autoimmune process such as CPI-triggered diabetes mellitus. The typical treatment for CPI-triggered diabetes is insulin, but a detailed therapeutic method has not yet been established. To prevent severe symptoms and mortality of diabetic ketoacidosis in advanced-stage cancer patients, the establishment of effective treatment of CPI-triggered diabetes, other than insulin therapy, is required. METHODS: We present a case of a 76-year-old man with CPI-triggered diabetes who was treated with nivolumab and ipilimumab for lung cancer. We also conducted a systematic review of 48 case reports of type 1 diabetes associated with nivolumab and ipilimumab therapy before June 2023. RESULTS: The patient's hyperglycemia was not sufficiently controlled by insulin therapy, and after the remission of ketoacidosis, the addition of a sodium-glucose transporter (SGLT) 2 inhibitor, dapagliflozin, improved glycemic control. Most of the reported nivolumab/ipilimumab-induced type 1 diabetes was treatable with insulin, but very few cases required additional oral anti-diabetic agents to obtain good glucose control. CONCLUSION: Although SGLT2 inhibitors have been reported to have adverse effects on ketoacidosis, recent studies indicate that the occurrence of ketoacidosis is relatively rare. Considering the pathological mechanism of CPI-triggered diabetes, SGLT2 inhibitors could be an effective choice if they are administered while carefully monitoring the patient's ketoacidosis.",2023,20231201.0,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of vaccinations against COVID19.  It focuses on complications of cancer treatment.', 'score': 2}",The article does not discuss complications or adverse effects of vaccinations against COVID19.  It focuses on complications of cancer treatment.,2,100,"{'reasoning': 'The article discusses complications related to checkpoint inhibitors and their association with type 1 diabetes, not vaccinations against COVID-19, thus it does not meet the criteria.', 'score': 2, 'certainty': 95}","The article discusses complications related to checkpoint inhibitors and their association with type 1 diabetes, not vaccinations against COVID-19, thus it does not meet the criteria.",2,95,,
35821156,PMC9274642,"Transjugular intrahepatic portosystemic shunt, local thrombaspiration, and lysis for management of fulminant portomesenteric thrombosis and atraumatic splenic rupture due to vector-vaccine-induced thrombotic thrombocytopenia: a case report.",Stoll SE||Werner P||Wetsch WA||Dusse F||Bunck AC||Kochanek M||Popp F||Schmidt T||Bruns C||Bottiger BW,"INTRODUCTION: Recombinant adenoviral vector vaccines against severe acute respiratory syndrome coronavirus 2 have been observed to be associated with vaccine-induced immune thrombotic thrombocytopenia. Though vaccine-induced immune thrombotic thrombocytopenia is a rare complication after vaccination with recombinant adenoviral vector vaccines, it can lead to severe complications. In vaccine-induced immune thrombotic thrombocytopenia, the vector vaccine induces heparin-independent production of platelet factor 4 autoantibodies, resulting in platelet activation and aggregation. Therefore, patients suffering from vaccine-induced immune thrombotic thrombocytopenia particularly present with signs of arterial or venous thrombosis, often at atypical sites, but also signs of bleeding due to disseminated intravascular coagulation and severe thrombocytopenia. We describe herein a rare case of fulminant portomesenteric thrombosis and atraumatic splenic rupture due to vaccine-induced immune thrombotic thrombocytopenia. This case report presents the diagnosis and treatment of a healthy 29-year-old male Caucasian patient suffering from an extended portomesenteric thrombosis associated with atraumatic splenic rupture due to vaccine-induced immune thrombotic thrombocytopenia after the first dose of an adenoviral vector vaccine against severe acute respiratory syndrome coronavirus 2 [ChAdOx1 nCoV-19 (AZD1222)]. Therapeutic management of vaccine-induced immune thrombotic thrombocytopenia initially focused on systemic anticoagulation avoiding heparin and the application of steroids and intravenous immune globulins as per the recommendations of international societies of hematology and hemostaseology. Owing to the atraumatic splenic rupture and extended portomesenteric thrombosis, successful management of this case required splenectomy with additional placement of a transjugular intrahepatic portosystemic shunt to perform local thrombaspiration, plus repeated local lysis to reconstitute hepatopetal blood flow. CONCLUSION: The complexity and wide spectrum of the clinical picture in patients suffering from vaccine-induced immune thrombotic thrombocytopenia demand an early interdisciplinary diagnostic and therapeutic approach. Severe cases of portomesenteric thrombosis in vaccine-induced immune thrombotic thrombocytopenia, refractory to conservative management, may require additional placement of a transjugular intrahepatic portosystemic shunt, thrombaspiration, thrombolysis, and surgical intervention for effective management.",2022 Jul 11,20220711.0,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses a case of vaccine-induced immune thrombotic thrombocytopenia, a serious adverse effect following COVID-19 vaccination.', 'score': 1}","The abstract explicitly discusses a case of vaccine-induced immune thrombotic thrombocytopenia, a serious adverse effect following COVID-19 vaccination.",1,100,"{'reasoning': 'The article discusses a rare case of vaccine-induced immune thrombotic thrombocytopenia as a complication following vaccination against COVID-19, which directly addresses the criteria of complications or adverse effects of COVID-19 vaccinations.', 'score': 1, 'certainty': 90}","The article discusses a rare case of vaccine-induced immune thrombotic thrombocytopenia as a complication following vaccination against COVID-19, which directly addresses the criteria of complications or adverse effects of COVID-19 vaccinations.",1,90,"{'complications': ['vaccine-induced immune thrombotic thrombocytopenia', 'fulminant portomesenteric thrombosis', 'atraumatic splenic rupture', 'disseminated intravascular coagulation', 'severe thrombocytopenia']}","['vaccine-induced immune thrombotic thrombocytopenia', 'fulminant portomesenteric thrombosis', 'atraumatic splenic rupture', 'disseminated intravascular coagulation', 'severe thrombocytopenia']"
